id;tracking_code;date;details;invoice_id
1;Jewelery cutting-edge;2019-11-11T01:25:07;Hat;1
2;supply-chains magenta;2019-11-11T05:51:23;24/7;2
3;Gloves sky blue Oklahoma;2019-11-10T23:02:29;Tasty Concrete Chips Exclusive;3
4;Buckinghamshire capability zero tolerance;2019-11-11T07:50:53;Personal Loan Account;4
5;paradigms Home;2019-11-11T00:27:06;deposit Canadian Dollar Lebanon;5
6;Designer Persistent;2019-11-10T16:36:08;navigate;6
7;Re-contextualized;2019-11-10T13:27:29;Point Orchestrator;7
8;Solomon Islands Licensed;2019-11-10T12:41:10;installation;8
9;Argentine Peso;2019-11-10T12:07:58;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2019-11-11T04:32:55;Yen synthesize Creative;10
